Group,Year,Month,State,Condition.Group,Condition,ICD10_codes,Age.Group,COVID.19.Deaths,Number.of.Mentions,Flag,TotalPopulation
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,0,NA,654800
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,0,NA,612737
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0,0,NA,617494
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0,0,NA,625102
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,0,0,NA,618787
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,671322
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,665798
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,55,55,NA,522384
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,41,41,NA,536671
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,162,162,NA,260319
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,109,109,NA,263269
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,267,267,NA,92869
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,137,138,NA,92745
By Year,2020,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,493,493,NA,NA
By Year,2021,-1,Alabama,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,290,291,NA,NA
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,652775
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,25-34,11,11,NA,654800
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,35-44,17,17,NA,612737
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,35-44,56,56,NA,617494
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,45-54,43,44,NA,625102
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,45-54,106,108,NA,618787
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,55-64,92,93,NA,671322
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,55-64,226,234,NA,665798
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,65-74,206,213,NA,522384
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,65-74,302,311,NA,536671
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,75-84,201,207,NA,260319
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,75-84,238,247,NA,263269
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,85+,104,109,NA,92869
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,85+,126,133,NA,92745
By Year,2020,-1,Alabama,Renal failure,Renal failure,N17-N19,All Ages,669,689,NA,NA
By Year,2021,-1,Alabama,Renal failure,Renal failure,N17-N19,All Ages,1068,1103,NA,NA
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1600282
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,0,0,NA,652775
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,654800
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,5,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,612737
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,11,19,NA,617494
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,5,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,625102
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,13,21,NA,618787
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,5,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,671322
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,26,41,NA,665798
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,17,30,NA,522384
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,38,58,NA,536671
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,21,42,NA,260319
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,30,57,NA,263269
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,13,26,NA,92869
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,29,62,NA,92745
By Year,2020,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,69,135,NA,NA
By Year,2021,-1,Alabama,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,152,267,NA,NA
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,1593854
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,12,24,NA,1600282
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,25,46,NA,652775
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,61,89,NA,654800
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,53,84,NA,612737
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,142,208,NA,617494
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,131,184,NA,625102
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,314,459,NA,618787
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,311,473,NA,671322
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,682,1016,NA,665798
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,593,872,NA,522384
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,896,1320,NA,536671
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,582,829,NA,260319
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,748,1113,NA,263269
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,487,668,NA,92869
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,424,615,NA,92745
By Year,2020,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,2187,3163,NA,NA
By Year,2021,-1,Alabama,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,3279,4844,NA,NA
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,0-24,10,10,NA,1593854
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,0-24,33,33,NA,1600282
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,25-34,47,47,NA,652775
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,25-34,172,172,NA,654800
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,35-44,127,127,NA,612737
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,35-44,459,459,NA,617494
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,45-54,379,379,NA,625102
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,45-54,973,973,NA,618787
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,55-64,899,899,NA,671322
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,55-64,1898,1898,NA,665798
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,65-74,1669,1669,NA,522384
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,65-74,2548,2548,NA,536671
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,75-84,1900,1900,NA,260319
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,75-84,2254,2254,NA,263269
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,85+,1675,1675,NA,92869
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,85+,1382,1382,NA,92745
By Year,2020,-1,Alabama,COVID-19,COVID-19,U071,All Ages,6706,6706,NA,NA
By Year,2021,-1,Alabama,COVID-19,COVID-19,U071,All Ages,9719,9719,NA,NA
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,248122
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,247036
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,114679
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,16,19,NA,113842
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,99333
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,26,30,NA,101749
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5,NA,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,84788
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,56,59,NA,83433
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,16,17,NA,91981
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,94,98,NA,89924
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,31,33,NA,63344
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,145,154,NA,66084
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,42,45,NA,23594
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,107,111,NA,24828
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,28,29,NA,7082
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,45,46,NA,7286
By Year,2020,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,127,136,NA,NA
By Year,2021,-1,Alaska,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,490,519,NA,NA
